Route,Stop_Name,Latitude,Longitude,,From_Stop,To_Stop,,,,Stop_Name
Waterford - Dublin,Muine Bheag (Bagenalstown) ,52.69918,-6.952653,,Muine Bheag (Bagenalstown) ,Carlow ,,,,
Waterford - Dublin,Carlow ,52.840788,-6.922622,,Carlow ,Athy ,,,,
Waterford - Dublin,Athy ,53.129448,-7.001007,,Athy ,Kildare ,,,,
Waterford - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Newbridge ,,,,
Waterford - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Dublin Heuston ,,,,
Waterford - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Dublin - Carlow,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Park West and Cherry Orchard ,,,,
Dublin - Carlow,Park West and Cherry Orchard ,53.334009,-6.37876,,Park West and Cherry Orchard ,Clondalkin Fonthill ,,,,
Dublin - Carlow,Clondalkin Fonthill ,53.33337,-6.406279,,Clondalkin Fonthill ,Adamstown ,,,,
Dublin - Carlow,Adamstown ,53.336295,-6.46911,,Adamstown ,Hazelhatch and Celbridge ,,,,
Dublin - Carlow,Hazelhatch and Celbridge ,53.323003,-6.523108,,Hazelhatch and Celbridge ,Sallins and Naas ,,,,
Dublin - Carlow,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Newbridge ,,,,
Dublin - Carlow,Newbridge ,53.185394,-6.808223,,Newbridge ,Kildare ,,,,
Dublin - Carlow,Kildare ,53.162778,-6.907936,,Kildare ,Athy ,,,,
Dublin - Carlow,Athy ,53.129448,-7.001007,,Athy ,Carlow ,,,,
Dublin - Carlow,Carlow ,52.840788,-6.922622,,,,,,,
,,,,,,,,,,
Dublin - Waterford,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Newbridge ,,,,
Dublin - Waterford,Newbridge ,53.185394,-6.808223,,Newbridge ,Kildare ,,,,
Dublin - Waterford,Kildare ,53.162778,-6.907936,,Kildare ,Athy ,,,,
Dublin - Waterford,Athy ,53.129448,-7.001007,,Athy ,Carlow ,,,,
Dublin - Waterford,Carlow ,52.840788,-6.922622,,Carlow ,Muine Bheag (Bagenalstown) ,,,,
Dublin - Waterford,Muine Bheag (Bagenalstown) ,52.69918,-6.952653,,Muine Bheag (Bagenalstown) ,Kilkenny (Macdonagh) ,,,,
Dublin - Waterford,Kilkenny (Macdonagh) ,52.654955,-7.24498,,Kilkenny (Macdonagh) ,Thomastown ,,,,
Dublin - Waterford,Thomastown ,52.523049,-7.148997,,Thomastown ,Waterford (Plunkett) ,,,,
Dublin - Waterford,Waterford (Plunkett) ,52.26625,-7.117956,,,,,,,
,,,,,,,,,,
Dublin - Waterford,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Hazelhatch and Celbridge ,,,,
Dublin - Waterford,Hazelhatch and Celbridge ,53.323003,-6.523108,,Hazelhatch and Celbridge ,Sallins and Naas ,,,,
Dublin - Waterford,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Kildare ,,,,
Dublin - Waterford,Kildare ,53.162778,-6.907936,,Kildare ,Athy ,,,,
Dublin - Waterford,Athy ,53.129448,-7.001007,,Athy ,Carlow ,,,,
Dublin - Waterford,Carlow ,52.840788,-6.922622,,Carlow ,Muine Bheag (Bagenalstown) ,,,,
Dublin - Waterford,Muine Bheag (Bagenalstown) ,52.69918,-6.952653,,Muine Bheag (Bagenalstown) ,Kilkenny (Macdonagh) ,,,,
Dublin - Waterford,Kilkenny (Macdonagh) ,52.654955,-7.24498,,Kilkenny (Macdonagh) ,Thomastown ,,,,
Dublin - Waterford,Thomastown ,52.523049,-7.148997,,Thomastown ,Waterford (Plunkett) ,,,,
Dublin - Waterford,Waterford (Plunkett) ,52.26625,-7.117956,,,,,,,
,,,,,,,,,,
Dublin - Europort,Rosslare Europort ,52.251407,-6.338331,,Rosslare Europort ,Rosslare Strand ,,,,
Dublin - Europort,Rosslare Strand ,52.27172,-6.391356,,Rosslare Strand ,Wexford (O Hanrahan) ,,,,
Dublin - Europort,Wexford (O Hanrahan) ,52.343201,-6.464389,,Wexford (O Hanrahan) ,Enniscorthy ,,,,
Dublin - Europort,Enniscorthy ,52.504303,-6.566417,,Enniscorthy ,Gorey ,,,,
Dublin - Europort,Gorey ,52.671374,-6.292235,,Gorey ,Arklow ,,,,
Dublin - Europort,Arklow ,52.793921,-6.159583,,Arklow ,Rathdrum ,,,,
Dublin - Europort,Rathdrum ,52.93035,-6.226418,,Rathdrum ,Wicklow ,,,,
Dublin - Europort,Wicklow ,52.988042,-6.052894,,Wicklow ,Kilcoole ,,,,
Dublin - Europort,Kilcoole ,53.106971,-6.041121,,Kilcoole ,Greystones ,,,,
Dublin - Europort,Greystones ,53.144026,-6.061128,,,,,,,
,,,,,,,,,,
Europort - Dublin,Greystones ,53.144026,-6.061128,,Greystones ,Kilcoole ,,,,
Europort - Dublin,Kilcoole ,53.106971,-6.041121,,Kilcoole ,Wicklow ,,,,
Europort - Dublin,Wicklow ,52.988042,-6.052894,,Wicklow ,Rathdrum ,,,,
Europort - Dublin,Rathdrum ,52.93035,-6.226418,,Rathdrum ,Arklow ,,,,
Europort - Dublin,Arklow ,52.793921,-6.159583,,Arklow ,Gorey ,,,,
Europort - Dublin,Gorey ,52.671374,-6.292235,,Gorey ,Enniscorthy ,,,,
Europort - Dublin,Enniscorthy ,52.504303,-6.566417,,Enniscorthy ,Wexford (O Hanrahan) ,,,,
Europort - Dublin,Wexford (O Hanrahan) ,52.343201,-6.464389,,Wexford (O Hanrahan) ,Rosslare Strand ,,,,
Europort - Dublin,Rosslare Strand ,52.27172,-6.391356,,Rosslare Strand ,Rosslare Europort ,,,,
Europort - Dublin,Rosslare Europort ,52.251407,-6.338331,,,,,,,
,,,,,,,,,,
Manulla Junction - Ballina ,Manulla Junction ,53.827975,-9.192956,,Manulla Junction ,Foxford ,,,,
Manulla Junction - Ballina ,Foxford ,53.982939,-9.136433,,Foxford ,Ballina ,,,,
Manulla Junction - Ballina ,Ballina ,54.109063,-9.160596,,,,,,,
,,,,,,,,,,
Ballina - Manulla Junction,Ballina ,54.109063,-9.160596,,Ballina ,Foxford ,,,,
Ballina - Manulla Junction,Foxford ,53.982939,-9.136433,,Foxford ,Manulla Junction ,,,,
Ballina - Manulla Junction,Manulla Junction ,53.827975,-9.192956,,,,,,,
,,,,,,,,,,
Westport  - Dublin,Westport ,53.796207,-9.510052,,Westport ,Castlebar ,,,,
Westport  - Dublin,Castlebar ,53.847519,-9.288282,,Castlebar ,Manulla Junction ,,,,
Westport  - Dublin,Manulla Junction ,53.827975,-9.192956,,Manulla Junction ,Claremorris ,,,,
Westport  - Dublin,Claremorris ,53.720661,-9.002144,,Claremorris ,Ballyhaunis ,,,,
Westport  - Dublin,Ballyhaunis ,53.761772,-8.758716,,Ballyhaunis ,Castlerea ,,,,
Westport  - Dublin,Castlerea ,53.76153,-8.485715,,Castlerea ,Roscommon ,,,,
Westport  - Dublin,Roscommon ,53.624349,-8.196312,,Roscommon ,Athlone ,,,,
Westport  - Dublin,Athlone ,53.426785,-7.935736,,Athlone ,Clara ,,,,
Westport  - Dublin,Clara ,53.339842,-7.61651,,Clara ,Tullamore ,,,,
Westport  - Dublin,Tullamore ,53.270418,-7.50029,,Tullamore ,Portarlington ,,,,
Westport  - Dublin,Portarlington ,53.14605,-7.180555,,Portarlington ,Monasterevin ,,,,
Westport  - Dublin,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Kildare ,,,,
Westport  - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Newbridge ,,,,
Westport  - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Dublin Heuston ,,,,
Westport  - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Dublin - Westport,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Portarlington ,,,,
Dublin - Westport,Portarlington ,53.14605,-7.180555,,Portarlington ,Tullamore ,,,,
Dublin - Westport,Tullamore ,53.270418,-7.50029,,Tullamore ,Clara ,,,,
Dublin - Westport,Clara ,53.339842,-7.61651,,Clara ,Athlone ,,,,
Dublin - Westport,Athlone ,53.426785,-7.935736,,Athlone ,Roscommon ,,,,
Dublin - Westport,Roscommon ,53.624349,-8.196312,,Roscommon ,Castlerea ,,,,
Dublin - Westport,Castlerea ,53.76153,-8.485715,,Castlerea ,Ballyhaunis ,,,,
Dublin - Westport,Ballyhaunis ,53.761772,-8.758716,,Ballyhaunis ,Claremorris ,,,,
Dublin - Westport,Claremorris ,53.720661,-9.002144,,Claremorris ,Manulla Junction ,,,,
Dublin - Westport,Manulla Junction ,53.827975,-9.192956,,Manulla Junction ,Castlebar ,,,,
Dublin - Westport,Castlebar ,53.847519,-9.288282,,Castlebar ,Westport ,,,,
Dublin - Westport,Westport ,53.796207,-9.510052,,,,,,,
,,,,,,,,,,
Dublin - Athlone,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Newbridge ,,,,
Dublin - Athlone,Newbridge ,53.185394,-6.808223,,Newbridge ,Kildare ,,,,
Dublin - Athlone,Kildare ,53.162778,-6.907936,,Kildare ,Monasterevin ,,,,
Dublin - Athlone,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Portarlington ,,,,
Dublin - Athlone,Portarlington ,53.14605,-7.180555,,Portarlington ,Tullamore ,,,,
Dublin - Athlone,Tullamore ,53.270418,-7.50029,,Tullamore ,Clara ,,,,
Dublin - Athlone,Clara ,53.339842,-7.61651,,Clara ,Athlone ,,,,
Dublin - Athlone,Athlone ,53.426785,-7.935736,,,,,,,
,,,,,,,,,,
Dublin - Galway,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Kildare ,,,,
Dublin - Galway,Kildare ,53.162778,-6.907936,,Kildare ,Portarlington ,,,,
Dublin - Galway,Portarlington ,53.14605,-7.180555,,Portarlington ,Tullamore ,,,,
Dublin - Galway,Tullamore ,53.270418,-7.50029,,Tullamore ,Clara ,,,,
Dublin - Galway,Clara ,53.339842,-7.61651,,Clara ,Athlone ,,,,
Dublin - Galway,Athlone ,53.426785,-7.935736,,Athlone ,Ballinasloe ,,,,
Dublin - Galway,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Woodlawn ,,,,
Dublin - Galway,Woodlawn ,53.343162,-8.472313,,Woodlawn ,Attymon ,,,,
Dublin - Galway,Attymon ,53.321204,-8.606078,,Attymon ,Athenry ,,,,
Dublin - Galway,Athenry ,53.30153,-8.748547,,Athenry ,Oranmore ,,,,
Dublin - Galway,Oranmore ,53.27558,-8.946804,,Oranmore ,Galway (Ceannt) ,,,,
Dublin - Galway,Galway (Ceannt) ,53.273766,-9.047075,,,,,,,
,,,,,,,,,,
Galway - Dublin,Galway (Ceannt) ,53.273766,-9.047075,,Galway (Ceannt) ,Oranmore ,,,,
Galway - Dublin,Oranmore ,53.27558,-8.946804,,Oranmore ,Athenry ,,,,
Galway - Dublin,Athenry ,53.30153,-8.748547,,Athenry ,Woodlawn ,,,,
Galway - Dublin,Woodlawn ,53.343162,-8.472313,,Woodlawn ,Ballinasloe ,,,,
Galway - Dublin,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Athlone ,,,,
Galway - Dublin,Athlone ,53.426785,-7.935736,,Athlone ,Clara ,,,,
Galway - Dublin,Clara ,53.339842,-7.61651,,Clara ,Tullamore ,,,,
Galway - Dublin,Tullamore ,53.270418,-7.50029,,Tullamore ,Portarlington ,,,,
Galway - Dublin,Portarlington ,53.14605,-7.180555,,Portarlington ,Kildare ,,,,
Galway - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Newbridge ,,,,
Galway - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Sallins and Naas ,,,,
Galway - Dublin,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Dublin Heuston ,,,,
Galway - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Galway - Dublin,Galway (Ceannt) ,53.273766,-9.047075,,Galway (Ceannt) ,Oranmore ,,,,
Galway - Dublin,Oranmore ,53.27558,-8.946804,,Oranmore ,Athenry ,,,,
Galway - Dublin,Athenry ,53.30153,-8.748547,,Athenry ,Attymon ,,,,
Galway - Dublin,Attymon ,53.321204,-8.606078,,Attymon ,Woodlawn ,,,,
Galway - Dublin,Woodlawn ,53.343162,-8.472313,,Woodlawn ,Ballinasloe ,,,,
Galway - Dublin,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Athlone ,,,,
Galway - Dublin,Athlone ,53.426785,-7.935736,,Athlone ,Tullamore ,,,,
Galway - Dublin,Tullamore ,53.270418,-7.50029,,Tullamore ,Portarlington ,,,,
Galway - Dublin,Portarlington ,53.14605,-7.180555,,Portarlington ,Kildare ,,,,
Galway - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Newbridge ,,,,
Galway - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Dublin Heuston ,,,,
Galway - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Galway - Dublin,Galway (Ceannt) ,53.273766,-9.047075,,Galway (Ceannt) ,Oranmore ,,,,
Galway - Dublin,Oranmore ,53.27558,-8.946804,,Oranmore ,Athenry ,,,,
Galway - Dublin,Athenry ,53.30153,-8.748547,,Athenry ,Attymon ,,,,
Galway - Dublin,Attymon ,53.321204,-8.606078,,Attymon ,Woodlawn ,,,,
Galway - Dublin,Woodlawn ,53.343162,-8.472313,,Woodlawn ,Ballinasloe ,,,,
Galway - Dublin,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Athlone ,,,,
Galway - Dublin,Athlone ,53.426785,-7.935736,,Athlone ,Clara ,,,,
Galway - Dublin,Clara ,53.339842,-7.61651,,Clara ,Tullamore ,,,,
Galway - Dublin,Tullamore ,53.270418,-7.50029,,Tullamore ,Portarlington ,,,,
Galway - Dublin,Portarlington ,53.14605,-7.180555,,Portarlington ,Dublin Heuston ,,,,
Galway - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Dublin - Galway,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Newbridge ,,,,
Dublin - Galway,Newbridge ,53.185394,-6.808223,,Newbridge ,Kildare ,,,,
Dublin - Galway,Kildare ,53.162778,-6.907936,,Kildare ,Tullamore ,,,,
Dublin - Galway,Tullamore ,53.270418,-7.50029,,Tullamore ,Athlone ,,,,
Dublin - Galway,Athlone ,53.426785,-7.935736,,Athlone ,Ballinasloe ,,,,
Dublin - Galway,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Woodlawn ,,,,
Dublin - Galway,Woodlawn ,53.343162,-8.472313,,Woodlawn ,Athenry ,,,,
Dublin - Galway,Athenry ,53.30153,-8.748547,,Athenry ,Galway (Ceannt) ,,,,
Dublin - Galway,Galway (Ceannt) ,53.273766,-9.047075,,,,,,,
,,,,,,,,,,
Dublin - Galway,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Sallins and Naas ,,,,
Dublin - Galway,Sallins and Naas ,53.247026,-6.664586,,Sallins and Naas ,Newbridge ,,,,
Dublin - Galway,Newbridge ,53.185394,-6.808223,,Newbridge ,Portarlington ,,,,
Dublin - Galway,Portarlington ,53.14605,-7.180555,,Portarlington ,Tullamore ,,,,
Dublin - Galway,Tullamore ,53.270418,-7.50029,,Tullamore ,Clara ,,,,
Dublin - Galway,Clara ,53.339842,-7.61651,,Clara ,Athlone ,,,,
Dublin - Galway,Athlone ,53.426785,-7.935736,,Athlone ,Ballinasloe ,,,,
Dublin - Galway,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Athenry ,,,,
Dublin - Galway,Athenry ,53.30153,-8.748547,,Athenry ,Oranmore ,,,,
Dublin - Galway,Oranmore ,53.27558,-8.946804,,Oranmore ,Galway (Ceannt) ,,,,
Dublin - Galway,Galway (Ceannt) ,53.273766,-9.047075,,,,,,,
,,,,,,,,,,
Dublin - Galway,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Monasterevin ,,,,
Dublin - Galway,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Portarlington ,,,,
Dublin - Galway,Portarlington ,53.14605,-7.180555,,Portarlington ,Clara ,,,,
Dublin - Galway,Clara ,53.339842,-7.61651,,Clara ,Athlone ,,,,
Dublin - Galway,Athlone ,53.426785,-7.935736,,Athlone ,Ballinasloe ,,,,
Dublin - Galway,Ballinasloe ,53.336282,-8.24081,,Ballinasloe ,Athenry ,,,,
Dublin - Galway,Athenry ,53.30153,-8.748547,,Athenry ,Oranmore ,,,,
Dublin - Galway,Oranmore ,53.27558,-8.946804,,Oranmore ,Galway (Ceannt) ,,,,
Dublin - Galway,Galway (Ceannt) ,53.273766,-9.047075,,,,,,,
,,,,,,,,,,
Sligo - Dublin,Sligo (MacDiarmada) ,54.271956,-8.481925,,Sligo (MacDiarmada) ,Collooney ,,,,
Sligo - Dublin,Collooney ,54.18643,-8.494876,,Collooney ,Ballymote ,,,,
Sligo - Dublin,Ballymote ,54.088241,-8.52155,,Ballymote ,Boyle ,,,,
Sligo - Dublin,Boyle ,53.967594,-8.304383,,Boyle ,Carrick-on-Shannon ,,,,
Sligo - Dublin,Carrick-on-Shannon ,53.93846,-8.107176,,Carrick-on-Shannon ,Dromod ,,,,
Sligo - Dublin,Dromod ,53.859239,-7.916454,,Dromod ,Longford ,,,,
Sligo - Dublin,Longford ,53.724079,-7.796346,,Longford ,Edgeworthstown ,,,,
Sligo - Dublin,Edgeworthstown ,53.688865,-7.603029,,Edgeworthstown ,Mullingar ,,,,
Sligo - Dublin,Mullingar ,53.523035,-7.346082,,Mullingar ,Enfield ,,,,
Sligo - Dublin,Enfield ,53.416677,-6.832842,,Enfield ,Kilcock ,,,,
Sligo - Dublin,Kilcock ,53.398946,-6.6688,,Kilcock ,Maynooth ,,,,
Sligo - Dublin,Maynooth ,53.378038,-6.590566,,Maynooth ,Drumcondra ,,,,
Sligo - Dublin,Drumcondra ,53.363012,-6.258578,,Drumcondra ,Dublin Connolly ,,,,
Sligo - Dublin,Dublin Connolly ,53.352586,-6.247731,,,,,,,
,,,,,,,,,,
Dublin - Sligo,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Drumcondra ,,,,
Dublin - Sligo,Drumcondra ,53.363012,-6.258578,,Drumcondra ,Maynooth ,,,,
Dublin - Sligo,Maynooth ,53.378038,-6.590566,,Maynooth ,Kilcock ,,,,
Dublin - Sligo,Kilcock ,53.398946,-6.6688,,Kilcock ,Enfield ,,,,
Dublin - Sligo,Enfield ,53.416677,-6.832842,,Enfield ,Mullingar ,,,,
Dublin - Sligo,Mullingar ,53.523035,-7.346082,,Mullingar ,Edgeworthstown ,,,,
Dublin - Sligo,Edgeworthstown ,53.688865,-7.603029,,Edgeworthstown ,Longford ,,,,
Dublin - Sligo,Longford ,53.724079,-7.796346,,Longford ,Dromod ,,,,
Dublin - Sligo,Dromod ,53.859239,-7.916454,,Dromod ,Carrick-on-Shannon ,,,,
Dublin - Sligo,Carrick-on-Shannon ,53.93846,-8.107176,,Carrick-on-Shannon ,Boyle ,,,,
Dublin - Sligo,Boyle ,53.967594,-8.304383,,Boyle ,Ballymote ,,,,
Dublin - Sligo,Ballymote ,54.088241,-8.52155,,Ballymote ,Collooney ,,,,
Dublin - Sligo,Collooney ,54.18643,-8.494876,,Collooney ,Sligo (MacDiarmada) ,,,,
Dublin - Sligo,Sligo (MacDiarmada) ,54.271956,-8.481925,,,,,,,
,,,,,,,,,,
Dublin - Sligo,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Leixlip(Louisa Bridge) ,,,,
Dublin - Sligo,Leixlip(Louisa Bridge) ,53.370063,-6.506275,,Leixlip(Louisa Bridge) ,Maynooth ,,,,
Dublin - Sligo,Maynooth ,53.378038,-6.590566,,Maynooth ,Kilcock ,,,,
Dublin - Sligo,Kilcock ,53.398946,-6.6688,,Kilcock ,Enfield ,,,,
Dublin - Sligo,Enfield ,53.416677,-6.832842,,Enfield ,Mullingar ,,,,
Dublin - Sligo,Mullingar ,53.523035,-7.346082,,Mullingar ,Edgeworthstown ,,,,
Dublin - Sligo,Edgeworthstown ,53.688865,-7.603029,,Edgeworthstown ,Longford ,,,,
Dublin - Sligo,Longford ,53.724079,-7.796346,,Longford ,Dromod ,,,,
Dublin - Sligo,Dromod ,53.859239,-7.916454,,Dromod ,Carrick-on-Shannon ,,,,
Dublin - Sligo,Carrick-on-Shannon ,53.93846,-8.107176,,Carrick-on-Shannon ,Boyle ,,,,
Dublin - Sligo,Boyle ,53.967594,-8.304383,,Boyle ,Ballymote ,,,,
Dublin - Sligo,Ballymote ,54.088241,-8.52155,,Ballymote ,Collooney ,,,,
Dublin - Sligo,Collooney ,54.18643,-8.494876,,Collooney ,Sligo (MacDiarmada) ,,,,
Dublin - Sligo,Sligo (MacDiarmada) ,54.271956,-8.481925,,,,,,,
,,,,,,,,,,
Belfast - Dublin,Belfast ,54.595573,-5.917156,,Belfast ,Portadown ,,,,
Belfast - Dublin,Portadown ,54.424993,-6.445312,,Portadown ,Newry ,,,,
Belfast - Dublin,Newry ,54.188659,-6.362413,,Newry ,Dundalk (Clarke) ,,,,
Belfast - Dublin,Dundalk (Clarke) ,54.001087,-6.412385,,Dundalk (Clarke) ,Drogheda (Macbride) ,,,,
Belfast - Dublin,Drogheda (Macbride) ,53.711842,-6.335709,,Drogheda (Macbride) ,Dublin Connolly ,,,,
Belfast - Dublin,Dublin Connolly ,53.352586,-6.247731,,,,,,,
,,,,,,,,,,
Dundalk- Dublin,Dundalk (Clarke) ,54.001087,-6.412385,,Dundalk (Clarke) ,Drogheda (Macbride) ,,,,
Dundalk- Dublin,Drogheda (Macbride) ,53.711842,-6.335709,,Drogheda (Macbride) ,Dublin Connolly ,,,,
Dundalk- Dublin,Dublin Connolly ,53.352586,-6.247731,,,,,,,
,,,,,,,,,,
Dublin - Maynooth,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Drumcondra ,,,,
Dublin - Maynooth,Drumcondra ,53.363012,-6.258578,,Drumcondra ,Broombridge ,,,,
Dublin - Maynooth,Broombridge ,53.372506,-6.29869,,Broombridge ,Pelletstown ,,,,
Dublin - Maynooth,Pelletstown ,53.375249,-6.313876,,Pelletstown ,Ashtown ,,,,
Dublin - Maynooth,Ashtown ,53.375258,-6.332386,,Ashtown ,Navan Road Parkway ,,,,
Dublin - Maynooth,Navan Road Parkway ,53.377708,-6.345914,,Navan Road Parkway ,Castleknock ,,,,
Dublin - Maynooth,Castleknock ,53.381576,-6.371492,,Castleknock ,Coolmine ,,,,
Dublin - Maynooth,Coolmine ,53.377506,-6.391524,,Coolmine ,Clonsilla ,,,,
Dublin - Maynooth,Clonsilla ,53.383004,-6.423078,,Clonsilla ,Leixlip(Confey) ,,,,
Dublin - Maynooth,Leixlip(Confey) ,53.374065,-6.485464,,Leixlip(Confey) ,Leixlip(Louisa Bridge) ,,,,
Dublin - Maynooth,Leixlip(Louisa Bridge) ,53.370063,-6.506275,,Leixlip(Louisa Bridge) ,Maynooth ,,,,
Dublin - Maynooth,Maynooth ,53.378038,-6.590566,,,,,,,
,,,,,,,,,,
Maynooth - Dublin,Maynooth ,53.378038,-6.590566,,Maynooth ,Leixlip(Louisa Bridge) ,,,,
Maynooth - Dublin,Leixlip(Louisa Bridge) ,53.370063,-6.506275,,Leixlip(Louisa Bridge) ,Leixlip(Confey) ,,,,
Maynooth - Dublin,Leixlip(Confey) ,53.374065,-6.485464,,Leixlip(Confey) ,Clonsilla ,,,,
Maynooth - Dublin,Clonsilla ,53.383004,-6.423078,,Clonsilla ,Coolmine ,,,,
Maynooth - Dublin,Coolmine ,53.377506,-6.391524,,Coolmine ,Castleknock ,,,,
Maynooth - Dublin,Castleknock ,53.381576,-6.371492,,Castleknock ,Navan Road Parkway ,,,,
Maynooth - Dublin,Navan Road Parkway ,53.377708,-6.345914,,Navan Road Parkway ,Ashtown ,,,,
Maynooth - Dublin,Ashtown ,53.375258,-6.332386,,Ashtown ,Pelletstown ,,,,
Maynooth - Dublin,Pelletstown ,53.375249,-6.313876,,Pelletstown ,Broombridge ,,,,
Maynooth - Dublin,Broombridge ,53.372506,-6.29869,,Broombridge ,Drumcondra ,,,,
Maynooth - Dublin,Drumcondra ,53.363012,-6.258578,,Drumcondra ,Dublin Connolly ,,,,
Maynooth - Dublin,Dublin Connolly ,53.352586,-6.247731,,,,,,,
,,,,,,,,,,
Clonsilla - M3 Parkway ,Clonsilla ,53.383004,-6.423078,,Clonsilla ,Hansfield ,,,,
Clonsilla - M3 Parkway ,Hansfield ,53.386938,-6.441785,,Hansfield ,Dunboyne ,,,,
Clonsilla - M3 Parkway ,Dunboyne ,53.416925,-6.464602,,Dunboyne ,M3 Parkway ,,,,
Clonsilla - M3 Parkway ,M3 Parkway ,53.43514,-6.469195,,,,,,,
,,,,,,,,,,
M3 Parkway  - Clonsilla,M3 Parkway ,53.43514,-6.469195,,M3 Parkway ,Dunboyne ,,,,
M3 Parkway  - Clonsilla,Dunboyne ,53.416925,-6.464602,,Dunboyne ,Hansfield ,,,,
M3 Parkway  - Clonsilla,Hansfield ,53.386938,-6.441785,,Hansfield ,Clonsilla ,,,,
M3 Parkway  - Clonsilla,Clonsilla ,53.383004,-6.423078,,,,,,,
,,,,,,,,,,
Cobh - Cork,Cobh ,51.848734,-8.299942,,Cobh ,Rushbrooke ,,,,
Cobh - Cork,Rushbrooke ,51.849419,-8.32247,,Rushbrooke ,Carrigaloe ,,,,
Cobh - Cork,Carrigaloe ,51.869062,-8.324376,,Carrigaloe ,Fota ,,,,
Cobh - Cork,Fota ,51.895614,-8.318616,,Fota ,Glounthaune ,,,,
Cobh - Cork,Glounthaune ,51.911289,-8.325244,,Glounthaune ,Little Island ,,,,
Cobh - Cork,Little Island ,51.907701,-8.355584,,Little Island ,Cork (Kent) ,,,,
Cobh - Cork,Cork (Kent) ,51.901363,-8.458343,,,,,,,
,,,,,,,,,,
Cork -  Cobh,Cork (Kent) ,51.901363,-8.458343,,Cork (Kent) ,Little Island ,,,,
Cork -  Cobh,Little Island ,51.907701,-8.355584,,Little Island ,Glounthaune ,,,,
Cork -  Cobh,Glounthaune ,51.911289,-8.325244,,Glounthaune ,Fota ,,,,
Cork -  Cobh,Fota ,51.895614,-8.318616,,Fota ,Carrigaloe ,,,,
Cork -  Cobh,Carrigaloe ,51.869062,-8.324376,,Carrigaloe ,Rushbrooke ,,,,
Cork -  Cobh,Rushbrooke ,51.849419,-8.32247,,Rushbrooke ,Cobh ,,,,
Cork -  Cobh,Cobh ,51.848734,-8.299942,,,,,,,
,,,,,,,,,,
Cork - Midleton,Cork (Kent) ,51.901363,-8.458343,,Cork (Kent) ,Little Island ,,,,
Cork - Midleton,Little Island ,51.907701,-8.355584,,Little Island ,Glounthaune ,,,,
Cork - Midleton,Glounthaune ,51.911289,-8.325244,,Glounthaune ,Carrigtwohill ,,,,
Cork - Midleton,Carrigtwohill ,51.916258,-8.263214,,Carrigtwohill ,Midleton ,,,,
Cork - Midleton,Midleton ,51.921027,-8.175908,,,,,,,
,,,,,,,,,,
Midleton - Cork,Midleton ,51.921027,-8.175908,,Midleton ,Carrigtwohill ,,,,
Midleton - Cork,Carrigtwohill ,51.916258,-8.263214,,Carrigtwohill ,Glounthaune ,,,,
Midleton - Cork,Glounthaune ,51.911289,-8.325244,,Glounthaune ,Little Island ,,,,
Midleton - Cork,Little Island ,51.907701,-8.355584,,Little Island ,Cork (Kent) ,,,,
Midleton - Cork,Cork (Kent) ,51.901363,-8.458343,,,,,,,
,,,,,,,,,,
